countryid,leaguename,level,iscompetitionscarfenabled,isbannerenabled,leagueid,iscompetitionpoleflagenabled,iscompetitioncrowdcardsenabled,leaguetimeslice,iswithintransferwindow
13,Denmark Superliga (1),1,2,2,1,2,2,7,0
7,Belgium Jupiler Pro League (1),1,2,2,4,2,2,5,0
54,Brazil Campeonato Brasileiro (1),1,2,2,7,2,2,8,0
34,Holland Eredivisie (1),1,2,2,10,2,2,4,0
14,England Premier League (1),1,2,2,13,2,2,4,0
14,England EFL Championship (2),2,2,2,14,2,2,5,0
18,France Ligue 1 (1),1,2,2,16,2,2,5,0
18,France Ligue 2 (2),2,2,2,17,2,2,5,0
21,Germany 1. Bundesliga (1),1,2,2,19,2,2,3,0
21,Germany 2. Bundesliga (2),2,2,2,20,2,2,5,0
27,Italy Serie A (1),1,1,1,31,1,1,3,0
27,Italy Serie B (2),2,2,2,32,2,2,3,0
95,USA Major League Soccer (1),1,2,2,39,2,2,8,0
36,Norway Tippeligaen (1),1,2,2,41,2,2,8,0
42,Scotland Premiership (1),1,2,2,50,2,2,5,0
45,Spain Primera Division (1),1,2,2,53,2,2,3,1
45,Spain Segunda A (2),2,2,2,54,2,2,3,1
46,Sweden Allsvenskan (1),1,2,2,56,2,2,8,0
14,England EFL League One (3),3,2,2,60,2,2,5,0
14,England EFL League Two (4),4,2,2,61,2,2,5,1
25,Rep. Ireland Airtricity League (1),1,2,2,65,2,2,9,0
37,Poland Ekstraklasa (1),1,2,2,66,2,2,6,1
40,Russia Premier League (1),1,2,2,67,2,2,6,1
48,Turkey Süper Lig (1),1,2,2,68,2,2,3,0
211,Rest of World,4,2,2,76,2,2,0,0
75,International,5,2,2,78,2,2,0,0
4,Austria Bundesliga (1),1,2,2,80,2,2,6,0
167,Korea K-League Classic (1),1,2,2,83,2,2,8,0
255,TP Generics,4,2,2,111,2,2,0,0
47,Switzerland Super League (1),1,2,2,189,2,2,6,1
38,Portugal Liga NOS (1),1,2,2,308,2,2,6,1
55,Chile Campeonato Nacional Scotiabank (1),1,2,2,335,2,2,7,0
56,Colombia Liga Aguila (1),1,2,2,336,2,2,7,0
83,Mexico Liga MX (1),1,2,2,341,2,2,7,0
163,Japan J1 League (1),1,2,2,349,2,2,8,0
183,Saudi Dawry Jameel League (1),1,2,2,350,2,2,4,0
195,Australia Hyundai A-League (1),1,2,2,351,2,2,3,1
52,Argentina Primera División  (1),1,2,2,353,2,2,3,0
210,Free Agents League,1,2,2,382,2,2,0,0
28,,1,2,2,383,2,2,0,0
216,Creation Zone League,1,2,2,384,2,2,0,0
0,FIFA Career Saved Teams,6,2,2,2000,2,2,0,0
0,Youth Squad League,7,2,2,2028,2,2,0,0
21,Germany 3. Liga (3),3,2,2,2076,2,2,6,0
39,,5,2,2,2136,2,2,3,0
